# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130129
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

109, 1763488892.191635, -0.017384370, -0.768192212, 2.154364427, 0.029292663, -1.420974652, -0.019423485, 0.960131404, 0.166754731, -5.361778715, -4.083764845, -0.195064083
110, 1763488892.218011, -0.017386754, -0.768209279, 2.154367129, 0.029311021, -1.420974652, -0.019429525, 0.960126343, 0.166753980, -5.361778649, -4.083762149, -0.195083187
111, 1763488892.240861, -0.017389297, -0.768199523, 2.154375235, 0.029298782, -1.420977672, -0.019408147, 0.960121257, 0.166754555, -5.361778927, -4.083764712, -0.195085788
112, 1763488892.267091, -0.017389297, -0.768199523, 2.154372533, 0.029298862, -1.420971632, -0.019426425, 0.960133947, 0.166746734, -5.361783738, -4.083764940, -0.195094909
113, 1763488892.29523, -0.017386913, -0.768206815, 2.154367129, 0.029314041, -1.420977672, -0.019417286, 0.960126368, 0.166742534, -5.361781757, -4.083764648, -0.195106599
114, 1763488892.332706, -0.017384370, -0.768192192, 2.154367129, 0.029304902, -1.420962413, -0.019399007, 0.960131454, 0.166746298, -5.361786831, -4.083763875, -0.195107257
115, 1763488892.362824, -0.017381827, -0.768197139, 2.154372533, 0.029295762, -1.420983712, -0.019402107, 0.960131454, 0.166742555, -5.361785746, -4.083767470, -0.195114994
116, 1763488892.387459, -0.017386754, -0.768201987, 2.154369831, 0.029298782, -1.420977672, -0.019417365, 0.960131429, 0.166747357, -5.361785229, -4.083767070, -0.195120962
117, 1763488892.415037, -0.017381748, -0.768204451, 2.154367129, 0.029298862, -1.420980692, -0.019408226, 0.960123774, 0.166742222, -5.361790272, -4.083766646, -0.195111797
118, 1763488892.437788, -0.017384370, -0.768197139, 2.154369831, 0.029277404, -1.420974652, -0.019414186, 0.960126343, 0.166742478, -5.361786137, -4.083766758, -0.195108970
119, 1763488892.462069, -0.017386913, -0.768206835, 2.154367129, 0.029298862, -1.420971632, -0.019420385, 0.960133972, 0.166749531, -5.361783904, -4.083763571, -0.195100833
120, 1763488892.485023, -0.017379363, -0.768204451, 2.154375235, 0.029298862, -1.420974652, -0.019414266, 0.960133998, 0.166747121, -5.361785915, -4.083766578, -0.195099650
121, 1763488892.508277, -0.017386913, -0.768189748, 2.154375156, 0.029298862, -1.420986732, -0.019420385, 0.960133998, 0.166752134, -5.361790243, -4.083769335, -0.195112328
122, 1763488892.538385, -0.017381827, -0.768204371, 2.154372533, 0.029295762, -1.420965513, -0.019417286, 0.960121257, 0.166752376, -5.361790168, -4.083763857, -0.195097749
123, 1763488892.5613718, -0.017384370, -0.768199523, 2.154372533, 0.029301882, -1.420968612, -0.019420306, 0.960133998, 0.166748707, -5.361794184, -4.083765696, -0.195082835
124, 1763488892.584013, -0.017381748, -0.768201907, 2.154377858, 0.029298862, -1.420971632, -0.019402107, 0.960126343, 0.166748085, -5.361795030, -4.083768573, -0.195091695
125, 1763488892.6136189, -0.017386754, -0.768204451, 2.154377778, 0.029301882, -1.420956294, -0.019429525, 0.960123825, 0.166745436, -5.361802140, -4.083766132, -0.195094534
126, 1763488892.648169, -0.017384370, -0.768204431, 2.154372533, 0.029301882, -1.420962493, -0.019417286, 0.960128886, 0.166752897, -5.361811882, -4.083767876, -0.195088748
127, 1763488892.682611, -0.017386913, -0.768206835, 2.154372533, 0.029295762, -1.420977672, -0.019399087, 0.960126317, 0.166754846, -5.361821760, -4.083768248, -0.195096794
128, 1763488892.706708, -0.017394066, -0.768201987, 2.154372533, 0.029295762, -1.420980692, -0.019423405, 0.960131404, 0.166755177, -5.361818296, -4.083769993, -0.195090023
129, 1763488892.738663, -0.017384211, -0.768201907, 2.154372533, 0.029295762, -1.420974652, -0.019420385, 0.960128886, 0.166766902, -5.361810041, -4.083768860, -0.195091497
130, 1763488892.760184, -0.017389297, -0.768199523, 2.154367129, 0.029292742, -1.420977672, -0.019399007, 0.960121231, 0.166764788, -5.361811823, -4.083771143, -0.195106670
131, 1763488892.783361, -0.017384211, -0.768197139, 2.154377937, 0.029298862, -1.420977672, -0.019408147, 0.960131404, 0.166762502, -5.361817106, -4.083770504, -0.195116008
132, 1763488892.8087099, -0.017391682, -0.768202066, 2.154377937, 0.029295762, -1.420977592, -0.019417286, 0.960133972, 0.166769997, -5.361815869, -4.083766959, -0.195097937
133, 1763488892.8406851, -0.017379363, -0.768199603, 2.154372533, 0.029295762, -1.420977592, -0.019408147, 0.960126343, 0.166770104, -5.361816626, -4.083768422, -0.195108210
134, 1763488892.8674939, -0.017381827, -0.768201987, 2.154372533, 0.029295762, -1.420971632, -0.019408147, 0.960133998, 0.166776645, -5.361811138, -4.083767437, -0.195098539
135, 1763488892.892213, -0.017379363, -0.768197139, 2.154369831, 0.029292742, -1.420968612, -0.019405206, 0.960121257, 0.166776562, -5.361811741, -4.083766586, -0.195099403
136, 1763488892.931649, -0.017384370, -0.768194675, 2.154369831, 0.029301882, -1.420977672, -0.019420306, 0.960139058, 0.166777027, -5.361812687, -4.083767948, -0.195101109
137, 1763488892.9579961, -0.017389297, -0.768202066, 2.154375235, 0.029292742, -1.420986811, -0.019405206, 0.960123800, 0.166777324, -5.361814844, -4.083767970, -0.195108813
138, 1763488892.9801338, -0.017386754, -0.768206894, 2.154369831, 0.029295762, -1.420968612, -0.019399087, 0.960139058, 0.166781614, -5.361815315, -4.083767615, -0.195106365
139, 1763488893.005307, -0.017386913, -0.768201987, 2.154367129, 0.029301882, -1.420968612, -0.019389947, 0.960126343, 0.166785693, -5.361812728, -4.083768522, -0.195101878
140, 1763488893.037347, -0.017386754, -0.768201987, 2.154367129, 0.029298862, -1.420980692, -0.019380728, 0.960133998, 0.166786184, -5.361806678, -4.083768127, -0.195115372
141, 1763488893.063564, -0.017389139, -0.768201987, 2.154372533, 0.029301882, -1.420980771, -0.019405127, 0.960133972, 0.166783079, -5.361800117, -4.083770023, -0.195102741
142, 1763488893.089869, -0.017381827, -0.768197060, 2.154369831, 0.029301882, -1.420974652, -0.019399007, 0.960128886, 0.166785642, -5.361802777, -4.083768751, -0.195100321
143, 1763488893.1167, -0.017384370, -0.768202066, 2.154369831, 0.029298862, -1.420968612, -0.019392888, 0.960123800, 0.166786890, -5.361803570, -4.083769391, -0.195089163
144, 1763488893.148862, -0.017389297, -0.768206835, 2.154369831, 0.029301882, -1.420974652, -0.019389868, 0.960123800, 0.166791691, -5.361808884, -4.083769500, -0.195096589
145, 1763488893.17646, -0.017379284, -0.768206835, 2.154372533, 0.029295762, -1.420980692, -0.019383828, 0.960141627, 0.166798338, -5.361804985, -4.083765102, -0.195100759
146, 1763488893.209131, -0.017391682, -0.768202066, 2.154369831, 0.029289643, -1.420974652, -0.019402027, 0.960121206, 0.166798848, -5.361806006, -4.083769607, -0.195103968
147, 1763488893.2417212, -0.017381827, -0.768202066, 2.154369831, 0.029304981, -1.420977672, -0.019389868, 0.960131454, 0.166806487, -5.361809169, -4.083766423, -0.195127533
148, 1763488893.2713768, -0.017384370, -0.768204451, 2.154369831, 0.029298862, -1.420965513, -0.019389947, 0.960133972, 0.166807630, -5.361798821, -4.083770356, -0.195126528
